,id,fullname,tweet_id,url,timestamp,replies,retweets,likes,hashtags,tweet_class,user,query,text
0,1503,♕ Nina ♕ #Camila,975080433271627776,/SweetKaki97/status/975080433271627776,2018-03-17 18:44:26,0,0,0,,2,SweetKaki97,The Walking Dead,"The walking dead is real
Sinu sou eu 
pic.twitter.com/nxD9JbYdBQ"
1,1504,queen daenerys   📚 👬 😻,975080415445778433,/cefalexforte/status/975080415445778433,2018-03-17 18:44:21,1,0,0,,2,cefalexforte,The Walking Dead,"Nop, Fear the Walking Dead"
2,1505,HOSPICIO NERD,975080402485481478,/HospicioNerd/status/975080402485481478,2018-03-17 18:44:18,0,0,0,,2,HospicioNerd,The Walking Dead,Novo teaser de Fear The Walking Dead destacando a Madison http://HospicioNerd.com.br/novo-teaser-de-fear-the-walking-dead-destacando-a-madison/ …pic.twitter.com/eprXO6z1vL
3,1506,Thomas Stevenson,975080394398883846,/thomassteven_81/status/975080394398883846,2018-03-17 18:44:16,0,0,0,"#FreeAugmentedRealityApps, #ArApps",2,thomassteven_81,The Walking Dead,"#FreeAugmentedRealityApps, #ArApps The Walking Dead: Our World AR Game Shows Off New Gameplay Footage https://goo.gl/CeNoU8 pic.twitter.com/kOGFrrfzf3"
4,1507,محمد التميمي,975080083135311873,/Sir_52/status/975080083135311873,2018-03-17 18:43:02,0,0,0,,2,Sir_52,The Walking Dead,The Walking Dead
5,1508, 😼ZiK 💀DraKulL 🎮,975080036867850241,/ZiK_DraKulL/status/975080036867850241,2018-03-17 18:42:51,0,0,0,,2,ZiK_DraKulL,The Walking Dead,Me gustó un video de @YouTube http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead
6,1509,Jonathan Hoover,975079755908288512,/jonhoover3443/status/975079755908288512,2018-03-17 18:41:44,0,0,0,,2,jonhoover3443,The Walking Dead,I should’ve taken some pics out in the concourse. Was like a real life Walking Dead episode.
7,1510,emirdöküm 35 1/2,975079744520761347,/Emirdokum1912/status/975079744520761347,2018-03-17 18:41:41,0,0,1,,2,Emirdokum1912,The Walking Dead,The Walking Dead https://twitter.com/bbcturkce/status/975070275225243649 …
8,1513,Jerry Travone  🇺🇸,975079659447578624,/JerryTravone/status/975079659447578624,2018-03-17 18:41:21,0,0,0,,-1,JerryTravone,The Walking Dead,I liked a @YouTube video http://youtu.be/x1Pqy2Tytgw?a  Why People Stopped Watching The Walking Dead
9,1515,Darth Vader Sarrista,975079531030765568,/Darth_V_C/status/975079531030765568,2018-03-17 18:40:50,0,0,0,,2,Darth_V_C,The Walking Dead,assistindo The Walking Dead
10,1516,Ralph Raynier,975079354739937280,/tekiyaome/status/975079354739937280,2018-03-17 18:40:08,0,0,0,,2,tekiyaome,The Walking Dead,The Walking Dead: Season 33 cap 155. Catalufonia harrasing.
11,1518,Urban Decay Podcast,975079123868557312,/UrbanDecayRPG/status/975079123868557312,2018-03-17 18:39:13,0,0,1,#np #SoundCloud #storytelling #storytime #rpg #roleplaying #palladium #deadreign #zombies #Zombie #WalkingDead #undead #ZombieApocalypse #horror #zombiepodcasthttps://soundcloud.com/urbandecaypodcast/22-urban-decay-podcast-lost,2,UrbanDecayRPG,The Walking Dead,"Saturday is the best day 

22 - Urban Decay Podcast - Lost

#np #SoundCloud #storytelling
#storytime #rpg #roleplaying #palladium #deadreign #zombies #Zombie #WalkingDead #undead #ZombieApocalypse #horror #zombiepodcasthttps://soundcloud.com/urbandecaypodcast/22-urban-decay-podcast-lost …"
12,1519,JC_IN_BC,975079028439711744,/JohnChampionBC/status/975079028439711744,2018-03-17 18:38:51,0,0,0,,2,JohnChampionBC,The Walking Dead,"""Young people were walking away from the party... Now, it's a dead sprint"" https://twitter.com/DearAuntCrabby/status/975067868680343552 …"
13,1520,K,975079026581757958,/LongLiveK_/status/975079026581757958,2018-03-17 18:38:50,0,0,0,,-1,LongLiveK_,The Walking Dead,"The Walking Dead gotta be the dumbest show ever, nigga it’s a zombie apocalypse and the zombies not even a real threat half the time"
14,1525,Jay4food,975078751724810241,/JayLeverette/status/975078751724810241,2018-03-17 18:37:45,0,0,0,#crawfish #jay4food #eat…,2,JayLeverette,The Walking Dead,Dead man walking! The mudbugs are spot on today! #crawfish #jay4food tbeauxscrawfish  #eat… https://www.instagram.com/p/Bgb0VLOHtG2/ 
